Year,Country of Asylum,Country of Origin,Country of Asylum ISO,Country of Origin ISO,Population Type,Footnote,Refugees,Asylum-seekers,IDPs,Other people in need of international protection,Stateless persons,Host community,Others of concern
2015,South Sudan, ,SSD,,IDP,"IDP figure in South Sudan includes 105,000 people who are in an IDP-like situation.",,,,,,,
2019 - 2022, , ,,,OIP,"Other people in need of international protection refers to people who are outside their country or territory of origin, typically because they have been forcibly displaced across international borders, who have not been reported under other categories (asylum-seekers, refugees, people in refugee-like situations) but who likely need international protection, including protection against forced return, as well as access to basic services on a temporary or longer-term basis.",,,,,,,
2015,Jordan,Iraq,JOR,IRQ,REF,"Includes 33,200 Iraqi refugees registered with UNHCR in Jordan. The Government estimated the number of Iraqis at 400,000 individuals at the end of March 2015. This includes refugees and other categories of Iraqis.",,,,,,,
2025,Philippines, ,PHL,,STA,"The total statelessness figure reported includes 17 stateless persons of Rohingya ethnicity who are also counted as refugees or asylum-seekers from Myanmar, mainly from Rakhine State.",,,,,,,
2023,Colombia, ,COL,,IDP,"The National Victims Registry of Colombia contains the historical accumulated figure of the number of victims of displacement which continues to increase, given that victims continue to be registered in the country. Thus, the total number of persons recognized as victims of displacement (more than 8.5 million), includes the number of IDPs who are subject to attention and/or reparation, i.e. those who meet the requirements to access the measures of attention and reparation established in Colombian Law 1448 (6.9 million). The number of victims of displacement who are deceased, direct victims of forced disappearance and homicide, and other victims who, for various reasons, cannot effectively access these measures, are identified as not being subject to attention or reparation and therefore not included in the figure of 6.9 million. The figure is constantly updated, considering that by legal definition, victims have up to two years to make their declaration and be included in the registry system. See the summary: https://www.unidadvictimas.gov.co/es/registro-unico-de-victimas-ruv/37394.",,,,,,,
2022,Thailand, ,THA,,STA,"The total statelessness figure includes 573,898 stateless persons reported by the Royal Thai Government and registered with the national civil registration system by the end of 2022. The figure includes 321 stateless persons of Rohingya ethnicity from Myanmar who are also counted as others of concern to UNHCR.",,,,,,,
2025,Iceland, ,ISL,,STA,"With regards to stateless statistics, the figures include: (a) the number of stateless asylum seekers at midyear as reported by the Icelandic authorities; (b) the number of stateless refugees at mid-end with valid residence permits on the basis of international protection as reported by Icelandic authorities; and (c) the number of non-displaced stateless persons (those with other non-protection related types of permits) based on data from Statistics Iceland corresponding to the resident population recorded as ""Stateless"" as of 1 January 2024 (no data is available yet for end-2024 or mid-2025), deducting the reported number of stateless refugees at mid-year.",,,,,,,
2023,Jordan,Iraq,JOR,IRQ,REF,"The refugee population in Jordan includes 28,900 Iraqis registered with UNHCR. The Government of Jordan estimated the number of Iraqis at 400,000 individuals at the end of March 2015. This includes refugees and other categories of Iraqis.",,,,,,,
2021,Austria, ,AUT,,STA,In situ stateless figure is as of end-2020.,,,,,,,
2023 - 2024,Dem. Rep. of the Congo, ,COD,,IDP,"The IDP figure differs from those agreed and communicated by UN OCHA, given the exlusion of IDPs due to disasters, in line with UNHCR methodology.",,,,,,,
